#separator:tab
#html:false
在 Agent 领域，通过异常控制流程的设计模式是什么样的？	"Prompt 规定输出特殊字符，LLM 输出，代码检测去匹配到这个标记，触发这个exception, 退出这个循环。 Prompt 规定: ""输出 COMPLETE_TASK_XXX 结束任务""                     │                     ▼ LLM 输出: echo ""COMPLETE_TASK_XXX ...""                     │                     ▼ 代码检测: has_finished() 方法匹配到这个标记                     │                     ▼ 触发: raise Submitted(...)  ← TerminatingException 的子类                     │                     ▼ 捕获: except TerminatingException → 退出 while True 循环"
原始的这个mini-swe-agent的workflow是分为哪6个步骤？	1. Analyze the codebase by finding and reading relevant files   ← 需要多次 ls, find, cat 2. Create a script to reproduce the issue                        ← 需要写脚本 3. Edit the source code to resolve the issue                     ← 需要编辑文件 4. Verify your fix works by running your script again            ← 需要运行验证 5. Test edge cases to ensure your fix is robust                  ← 需要测试边缘情况 6. Submit your changes                                           ← 最后提交
什么 决定了 LLM 的行为模式	Prompt 里的 Workflow
导致了执行步数的巨大差异的原因是什么呢？	不同的 Workflow 设计
为什么现在mini-swe-agent的工作流里面，第一步是调用 MCP（必须）   ?	获取优化方向、最佳实践、硬件限制
ai-devtool mcp server里面的下面这三个指令，分别的作用是什么？ @amd:query  @amd:example  @amd:optimize	"@amd:query	{""topic"": ""...""}	搜索主题 @amd:example	{""category"": ""..."", ""use_case"": ""...""}	获取类别示例 @amd:optimize	{""code_type"": ""..."", ""context"": ""...""}	根据类型和上下文描述给建议"
ai-devtool mcp server里面的@amd:optimize  这个工具是否可以传入代码，针对代码进行具体的性能优化的分析？	不能，只能传描述。
ai-devtool mcp server里面不支持把代码发给 MCP 获取进一步建议，这时候怎么办？	"gent 把代码优化后的问题描述发给 MCP：比如下面这样  @amd:troubleshoot {   ""error_message"": ""使用了 shared memory 进行 tiling，但性能只提升了 10%，预期应该更高"" }"
在 Agent/ML 领域，instance 的意思是 例子的意思吗？	"是""一个具体的案例/任务""，而不是""例子""："
在 Agent 设计中：system_template 和 instance_template 之间的联系是什么？	"你可能运行多个不同的任务，但使用同一个 system prompt【system_template 】， 每个任务是一个 ""instance""（实例）， instance_template 是针对每个具体任务实例的提示词。"
instance_template 可以被理解成哪个名字？	"可以理解为 ""task_template""（任务模板）。"
