可以保持长时间专注的前提是什么 | 前提是要处理的信息与自身能力相匹配，既不太难也不太简单。
何时使用记忆术？请举例说明记忆术相当于什么 | 当遇到无法通过理解来记忆的、无意义、无规律、无逻辑的材料时使用记忆术，例如元素周期表、电话号码等。记忆术相当于胶水，能将不相关的内容赋予意义并串联起来。
在冥想时应该如何调节呼吸？出现思绪时该怎么办 | 专注于自然的呼吸节奏，让呼吸变得均匀，只观察而不干预。当思绪飘忽时，温和地将注意力引导回到呼吸上。
专注模式和发散模式分别是什么 | 专注模式是集中时间精力处理特定任务的状态；发散模式是在专注后，对暂时无法解决的问题，带着问题去做其他事情的过程【即暂时放一放，去做不相关的事情】。
如何确定学习的边界 | 根据考试真题、必考点来划定学习边界，以最终的使用场景作为学习范围。
对身体紧张的觉知程度决定了什么 | 决定了你放松的能力，觉知越敏锐，放松效果越好。
收缩肌肉时应该怎么收紧 | 在不握紧拳头的前提下，保持其他肌肉放松的状态下，仅收紧特定区域的肌肉。
一道美食的心理模型由什么构成 | 由视觉、嗅觉、味觉和舌头触觉四个要素共同构成。
为什么要将强度推到最大 | 学习强度决定了学习效率，高强度训练能缩短所需时间，实现高效学习。
什么是走最短的路 | 直接进行实战练习，在真实应用场景中学习和提升。
什么是直击弱点？请举例说明 | 直击弱点是指将感到困难的部分单独挑出来，把事情拆分开，逐个突破。例如演奏家会提取最难的部分反复练习。
如何巩固自己的思考成果？为什么要这样做 | 将经验总结放入Anki中。这样做可以防止遗忘造成的价值损失，并能产生更深刻的见解。
为什么要避免做模拟题，只专注于真题 | 因为真题和模拟题的模式不同，大量做模拟题会浪费大量时间精力。
如何创建筛选牌组 | 进入浏览窗口→输入筛选条件→点击左上角编辑→选择创建筛选牌组→根据条件创建牌组。
好奇心由什么驱动 | 由提出的问题驱动，问题是好奇心产生的根源。
为什么不要喝咖啡因和兴奋剂饮料来保持专注 | 咖啡因和兴奋剂饮料虽能暂时提升专注力，但会产生依赖和副作用，长期来看会损害记忆能力。
中断工作有什么坏处 | 需要花费十几分钟重新进入状态，并消耗额外的精力。
如何设计卡片来提升英语口音？设计理念是什么 | 正面：文本，背面：对应音频。设计理念：通过对比自己的语音语调与原声，发现差异并改进。
力量训练每个动作应该做几次、几组，组间休息几分钟 | 每个动作做15次，完成3组，每组之间休息3分钟。
什么方法可以帮助入睡？【提高体温的方式】 | 睡前90分钟沐浴或泡脚，通过调节体温来促进睡眠。
午休时间过长会带来什么影响 | 会影响晚上的睡眠质量。
人们倾向于如何归因自己的成功 | 倾向于归因于自己的努力和天赋。
SMART计划的含义是什么 | 具体(Specific)、可衡量(Measurable)、可实现(Achievable)、相关(Relevant)、时限(Time-bound)的计划。
OKR的全称是什么？中英文分别是什么 | Objectives and Key Results（目标与关键结果）。
1万小时定律的内容是什么 | 在任何领域投入1万小时，都能成为该领域的专家。
睡眠呼吸暂停综合征的主要特征是什么 | 在睡眠过程中出现反复的呼吸暂停或呼吸浅表现象。
手部和脚部在调节体温中起什么作用 | 通过丰富的毛细血管和汗腺分布，帮助热量交换和散热。
人的精力在一天中如何变化？高峰和低谷分别在什么时候 | 精力高峰在起床后的几个小时，低谷在午饭后。
"Be-Do-Have"心智模型中，各个阶段分别指什么 | Be（成为）：明确想要成为什么样的人，关乎自我形象和内在需求；Do（做）：采取具体行动；Have（拥有）：最终实现目标，拥有渴望的东西。
内心演练应该在什么时候做？如何做 | 每当做事情之前，在脑海中预演做这件事的细节和过程。
人生的哪个阶段是自我突破和觉醒的契机 | 逆境是自我突破和觉醒的重要契机。
每天早起的时间应该专注于什么 | 专注于个人成长相关的事务。
"人们通常在一天中的什么时候经历'能量低潮'？【具体时间点】" | 午后，通常在饭后，大约下午2点到3点之间。
哈佛大学医学院的研究表明，一天中什么时间运动对预防糖尿病效果最好 | 上午运动效果最好。
想要永远领先他人，最重要的一步是什么 | 每天早上比别人早起。
从集体无意识角度看，内心与他人和解会产生什么效果？【从对方角度】 | 对方也可能会感受到这种和解，从而产生积极的变化。
如何看清一个人的本质？【顺境还是逆境】 | 要看一个人在逆境中的表现，而不是顺境时的表现。顺境时人人都可以很优秀，逆境时才能显现出真正的品格。
番茄工作法关注的是完成番茄数量还是任务本身 | 关注的是完成了几个番茄钟，而不是任务本身。
拿出一张纸写下当前任务核心内容并不断分解到最小步骤后，哪两种方法能分别让人更专注和更有动力 | 使用番茄钟（25分钟工作/5分钟休息）保持专注；每完成一步就在纸上打勾，视觉化进展会逐步增强动力。
不想工作时，温和有效的启动方式是什么 | 将任务分解到最小步骤，从发呆、放松的状态开始，先在纸上规划。
好习惯和坏习惯分别在什么时候付出代价 | 好习惯的代价在当下（需要立即付出努力），坏习惯的代价在未来（长期积累的负面后果）。
什么是感觉 | 感觉是外界刺激在大脑中形成的投影。
各种训练的共同点是什么 | 都是训练自己平时做不到的事情，通过提高难度来实现突破。
加快信息输入和加快记笔记的方法分别是什么 | 利用听书的倍速功能加快信息输入；通过语音输入直接将内容录入Anki。
记忆促进思考的两个原因是什么 | 1. 思考所在的短时记忆区会从长时记忆区获得大量信息支持；2. 记忆使信息被分组、模块化和打包，提高工作记忆区的利用效率。
学习是将新内容压缩和自动化的过程，这个过程是怎样的 | 学习新内容→将其自动化、熟练化→成为更大学习网络的基本单位（节点）。
记编程类笔记需要记哪三种笔记 | 微观层面的概念笔记、宏观层面的实现思路，以及自己总结的经验（二阶知识）。
为什么有些人宁愿看50页书、记200条笔记，也不愿花两天时间解剖一份真题 | 因为看书和记笔记能带来成就感，心理上囤积的数量会给人一种充实的错觉。
学习中常说的"用战术上的勤奋掩盖战略上的懒惰"具体指什么？应该采取的战略和战术分别是什么 | 战略是先确定重点，真题里的知识点优先级最高；战术是确定优先级后，投入时间精力先解决主要任务。
