#separator:tab
#html:false
AIG-Eval提供标准化的评分机制：包括那三方面？	编译成功、正确性、性能加速比
AIG-Eval 是一个 GPU Kernel 优化评测框架。它的核心目标是：自动化评测什么？	不同 AI Agent（代码生成智能体）在 GPU kernel 优化任务上的表现
AIG-Eval 在设计上是解耦的，主要解耦了三个维度，分别是什么？	1️⃣ Agent（代理/智能体）是可插拔的  2️⃣ Task（任务）是可插拔的  3️⃣ 评测逻辑是独立的
可插拔（Pluggable） 是什么意思？	就是指可以随时替换、切换的意思。
AIG-Eval里面在哪里替换 Agent？	"修改 config.yaml 中的一行：  # config.yaml agent:   template: SWE-agent    # ← 改这里！"
AIG-Eval里面能否同时评测多个 Agent？	不能，一次只能测一个 Agent
AIG-Eval里面在哪里替换不同的agent？	config.yaml 中的 agent.template 字段
AIG-Eval里面，配置任务的位置是在哪里	"config.yaml 第 26-27 行  tasks:   - customer_hip/point_to_voxel    # ← 这里修改"
AIG-Eval里面要添加新任务，则需要在 tasks/ 目录下创建什么样的结构？	tasks/ └── 你的类别/     └── 你的任务名/         ├── config.yaml     ← 任务配置（编译命令、正确性命令等）         ├── 源代码.hip      ← 需要优化的代码         └── Makefile        ← 构建文件
AIG-Eval里面的评分规则是如何计算？	（编译20分+正确性100分+加速比×100）
config.yaml里面，如何修改哪三个方面呀?	agent:                                                      template: SWE-agent     ← 【Agent 在这里改】                                                               tasks:                                                     - customer_hip/silu     ← 【Task 选择在这里改】           - customer_hip/point_to_voxel                                                                                   target_gpu_model: MI300   ← 【目标 GPU 在这里改】
tasks/xxx/config.yaml 里面一般包括哪些要素呢	源文件,编译指令,正确性验证指令,性能测试指令,任务类型这些    ┌─────────────────────────────────────────────────────────────────┐ │                   tasks/xxx/config.yaml                          │ │  ┌───────────────────────────────────────────────────────────┐  │ │  │  source_file_path:                                        │  │ │  │    - silu.hip              ← 【源文件】                    │  │ │  │  compile_command:                                         │  │ │  │    - make                  ← 【编译命令】                  │  │ │  │  correctness_command:                                     │  │ │  │    - ./test                ← 【正确性验证命令】            │  │ │  │  performance_command:                                     │  │ │  │    - ./benchmark           ← 【性能测试命令】              │  │ │  │  task_type: hip2hip        ← 【任务类型】                  │  │ │  └───────────────────────────────────────────────────────────┘  │ └─────────────────────────────────────────────────────────────────┘
AIG-Eval里面，如果我想换agent以及选择运行不同的任务及添加新任务以及修改某个任务的编译命令分别如何修改呢?	你想改什么在哪里改换一个 Agentconfig.yaml → agent.template选择运行哪些任务config.yaml → tasks 列表添加新任务在 tasks/ 目录下创建新文件夹 + config.yaml修改某任务的编译命令tasks/xxx/config.yaml → compile_command
AIG-Eval里面的tasks目录下面的config.yaml里面定义的source_file_path，compile_command，correctness_command，performance_command字段分别是什么意思？	字段作用source_file_path告诉 Agent 要优化哪个文件compile_command告诉 Agent 怎么编译correctness_command告诉 Agent 怎么验证正确性performance_command告诉 Agent 怎么测性能
为什么AIG-Eval里面的评估流程和config.yaml里面的内容有关？	config.yaml里面定义了一系列的指令，评测流程就是：Agent 按这些命令执行，看结果是否通过，测量执行时间，计算加速比。
tasks/silu下面的Makefile是什么作用？	编译脚本：hipcc silu.hip → applications_silu
tasks/assign_score_withk 里面有很多个文件， src/*.hip，test_assign_score_withk.py，*_wrapper.py，kernel_loader.py，*.pt，expected_*.pt 这些文件分别是什么作用？	文件作用src/*.hip待优化的 HIP kerneltest_assign_score_withk.py主测试脚本：编译 kernel → 加载 → 验证 → 测性能*_wrapper.pyPython 层封装，方便调用 kernelkernel_loader.py动态加载编译好的 kernel*.pt输入测试数据expected_*.pt正确性验证的参考答案
AIG-Eval里面为什么不同的测试任务里面的包含的文件数量不同？	不同任务的测试方式不同（C++ 自包含 vs Python+PyTorch）
AIG-Eval框架是否是逐行读取并执行 config.yaml 中的命令来进行评测呢？	不是的，框架不直接处理文件，只读取 config.yaml 中的命令，交给 Agent 执行
"所有任务的""测试逻辑""是放在AIG-Eval这个框架里面吗？"	"不是的，任务的""测试逻辑""是任务自己带的（通过 config.yaml 指定的命令），框架只负责调度 Agent 并计算最终评分。"
AIG-Eval里面，读取任务的 config.yaml，把这些信息告诉 Agent（作为 prompt 的一部分）,为什么要这么设计呢，为什么要agent来自动去决策调用哪个命令？	"这个框架的目的不是简单地""跑一个优化脚本""，而是评测 AI Agent 的自主编程能力：也就是：给 Agent 目标，让它自己决定怎么做，Agent 可以尝试、失败、重试、调整策略，测试""Agent 能不能完成任务""。    假设编译失败了： 传统脚本：直接报错退出   make  # 失败 exit 1  # 结束 Agent：可以自主处理   make → 失败 → 分析错误信息 → 修复代码 → 重新编译 → 成功 这才是评测 Agent 智能程度的意义！ 框架只告诉 Agent""你要做什么""，不告诉它""你要怎么做""。"
AIG-Eval里面同样的任务同样的agent但可能会导致评测的流程不一样，因为agent的大模型的生成具有随机性。对于这种情况下应该怎么办？	存在不确定性！这是 Agent 评测的固有特点。 虽然过程可能不同，但最终评分维度是确定的：实际做法：多次运行取统计值，同一个 Agent + 同一个 Task 跑 多次（如 5 次）取平均分、成功率、最高分等统计指标 ┌─────────────────────────────────────────────────────────────┐ │  不管 Agent 怎么折腾，最终都要回答：                           │ │                                                             │ │  ✓ 编译通过了吗？        → pass_compilation: true/false     │ │  ✓ 正确性验证通过了吗？   → pass_correctness: true/false     │ │  ✓ 性能加速了多少？       → speedup_ratio: 1.5x             │ └─────────────────────────────────────────────────────────────┘
AIG-Eval里面存在不确定性 是 Agent 评测的固有特点，这是为什么？	不确定性来源影响LLM 生成随机性（temperature）同样的 prompt 可能产生不同的优化策略Agent 探索路径不同可能先尝试 A 策略失败，再尝试 B；或直接成功多次迭代的不同Agent 可能迭代 3 次或 10 次才收敛
