#separator:tab
#html:false
选股框架只会产生一个股票池 吗？	不是的，产生多个选股策略，每个策略都有自己的股票池
轮动框架是否是在股票池里选股票？	不是的，轮动是在多个选股策略中选择一个策略，然后获取该策略的股票
选股框架输入：是什么？	预处理好的股票数据（所有股票）
选股框架处理过程是什么？	处理：多个选股策略并行运行               - 策略A：小市值_周黎明 → 选出30只股票    - 策略B：小市值_lee → 选出30只股票       - 策略C：诺亚方舟 → 选出30只股票         - 策略D：分红策略 → 选出30只股票         ...（多个选股策略）
选股框架的输出是什么？	输出：多个选股策略的结果                 ├─ 策略A的股票池：30只股票             ├─ 策略B的股票池：30只股票             ├─ 策略C的股票池：30只股票             └─ 策略D的股票池：30只股票             每个策略都有自己的股票池！
轮动框架的输入是什么？	输入：各个选股策略的历史表现数据                - 策略A的历史资金曲线、收益率等              - 策略B的历史资金曲线、收益率等              - 策略C的历史资金曲线、收益率等              - 策略D的历史资金曲线、收益率等
轮动框架的处理过程是什么？	处理：                                                         1. 计算各个策略的轮动因子（动量、波动率等）           2. 根据因子选择表现最好的策略                 3. 获取选中策略对应的股票
轮动框架的输出是什么？	"输出：选中的策略 + 该策略的股票池                              例如：选中""小市值_周黎明""策略 → 获取该策略的30只股票"
实盘框架 - 生成交易计划 的输入是什么？	输入：选股和轮动框架的选股结果
实盘框架 - 生成交易计划 的处理过程是什么？	处理：                                                    - 读取选股策略的选股结果                              - 读取轮动策略的选股结果                              - 合并生成交易计划
实盘框架 - 生成交易计划 的输出是什么？	输出：交易计划.csv
实盘框架 - 执行交易这个环节 的输入是什么？	输入：交易计划.csv
实盘框架 - 执行交易这个环节 的处理过程是什么？	处理：                                                   - 读取交易计划                                       - 计算仓位分配                                       - 调用交易API下单
实盘框架 - 执行交易这个环节 的输出是什么？	输出：订单执行结果
选股框架产生一个股票池，是吗？	不是的，选股框架产生多个选股策略，每个策略都有自己的股票池
轮动框架具体是在选股后的股票池里选部分股票，是这样吗？	不是的，轮动是在多个选股策略中选择一个策略，然后获取该策略的股票
轮动框架的输入是4个股票池的话，接下来他的工作流程是什么？	"读取这4个策略的历史表现数据计算轮动因子（如：动量、波动率等）选择表现最好的策略（假设选中""策略A：小市值_周黎明""）获取策略A的股票池（股票1, 2, 3, ..., 30）"
选股框架的一句话理解是什么？	从所有股票中，通过多个选股策略，产生多个股票池（每个策略一个股票池）
轮动框架的一句话理解是什么？	从多个选股策略中，选择一个策略，然后获取该策略的股票池
实盘框架的一句话理解是什么？	将选股和轮动的结果合并，生成交易计划，然后通过API下单
选股框架和轮动框架的核心区别是什么？	选股：股票 → 股票池（多个策略，多个股票池）轮动：策略 → 策略的股票池（选择策略，获取该策略的股票）
轮动框架里面，根据各个策略的历史资金曲线以及收益率来计算什么？	计算它的轮动因子
因子计算在什么级别的数据上?	日线
使用因子选择策略,是如何进行选择的?	在周期数据上，比较不同策略的因子值使用复合因子（动量和波动率的组合）进行排名选择排名最高的策略
什么是资金曲线？	资金曲线是策略的累积收益曲线，类似账户净值。
短期动量衡量的是什么?	策略近期表现是否好于近期平均水平。
短期动量计算方式是什么?	计算最近10天的平均资金曲线（10日均线）用当前资金曲线除以这个平均值，再减1
短期动量计算里面，正值和负值分别表示什么含义？	正值：近期表现好于近期平均负值：近期表现差于近期平均
长期动量衡量的是什么？	策略当前表现是否好于长期平均水平。
长期动量，计算方式是什么？	计算最近250天的平均资金曲线（250日均线）用当前资金曲线除以这个平均值，再减1
波动率衡量是什么？	策略的波动程度，类似收益的“颠簸程度”。
波动率计算方式是什么？	计算最近10天的平均资金曲线和标准差计算上轨（均值+2倍标准差）和下轨（均值-2倍标准差）波动率 = (上轨 - 下轨) / 平均值
复合因子 计算公式是什么？	复合因子 = 短期动量 × 权重 + 长期动量 × (1 - 权重)
短期动量和长期动量分别衡量的是多久以来的业绩啊？	短期动量衡量的是最近十天的表现是否好于最近10天的平均值。长期动量衡量的是过去250天的表现是否靠于过去250天的平均。
波动率作为短期动量的权重。 背后的逻辑是什么？	动态调整关注点（权重）如果市场波动大，更关注近期表现如果市场波动小，更关注长期表现
为什么在日线上统计指标，然后最终还要转换成周线级别的数据呢？	因为日线级别数据最细，最能反映出每日的变化，而调仓周期是每周，所以的话，需要周线级别的数据。
为什么不在周期数据上直接计算因子？	数据精度损失，如果只有周线数据，会丢失日内的波动信息
因子是啥？	因子 = 评估策略表现的指标 类似体检指标，用来评估策略的“健康状况”。
bias_10指的是什么？	短期动量
短期动量（bias_10）的定义是什么？	定义： 策略当前表现相对于最近10天平均的偏离程度
短期动量（bias_10）的计算公式是什么？	短期动量 = (当前资金曲线 / 最近10天平均资金曲线) - 1
长期动量（bias_250）的计算公式是什么？	长期动量 = (当前资金曲线 / 过去250天平均资金曲线) - 1
长期动量（bias_250）的定义是什么？	定义： 策略当前表现相对于过去250天平均的偏离程度
bbw_10 和 bias_250 分别指的是什么？	2. 长期动量（bias_250） 3. 波动率（bbw_10）
波动率（bbw_10） 定义是什么？	策略资金曲线的波动程度
波动率（bbw_10） 计算过程是什么？	1. 计算最近10天的平均资金曲线和标准差 2. 计算上轨 = 平均值 + 2倍标准差 3. 计算下轨 = 平均值 - 2倍标准差 4. 波动率 = (上轨 - 下轨) / 平均值
bbw_10_rank250是什么意思？	波动率排名（bbw_10_rank250） 定义： 当前波动率在过去250天内的排名位置
波动率排名 = 150 / 250 = 0.6（60%分位）含义是什么？	0.6表示当前波动率高于60%的历史时期数值越大：当前波动率相对历史越高
如何将日线级别的因子转换为周期级别的因子，以及为什么这样做?	只取一周里面的最后一天的值，  因为你的调仓周期是每周一次，只需要在每周的最后一天做决策。类比：类似“每周五称体重，决定下周的饮食计划”
加权求和的结果 是波动率吗？	不是，而是复合因子。波动率是其中一个因子，不是加权求和的结果
如何计算波动率权重？	波动率权重 = max(所有策略的波动率排名)，取所有策略中波动率排名的最大值。 策略A的波动率排名：0.6，策略B的波动率排名：0.5，策略C的波动率排名：0.4，波动率权重 = max(0.6, 0.5, 0.4) = 0.6。
复合因子的计算过程是什么样的？	1. 计算各个策略的因子（短期动量、长期动量、波动率等）    ↓ 2. 计算波动率权重 = max(所有策略的波动率排名)    ↓ 3. 计算复合因子 = 短期动量 × 权重 + 长期动量 × (1-权重)    ↓ 4. 选择复合因子最大的策略
这些因子是什么？	因子是评估策略表现的指标，类似体检指标
日线转周期数据，这是什么意思？	将日线级别的因子转换为周期级别的因子
不同类型的数据，转换规则不同，如何从日线转成周线？	1. 因子数据（动量、波动率等）：取最后一天的值【短期动量：取周期最后一天的值，长期动量：取周期最后一天的值，波动率：取周期最后一天的值】  2. 涨跌幅数据：保存整个周期内的列表，因为需要计算周期内的总收益。
为什么日线转周线的时候，涨跌幅数据需要保存整个周期内的列表？	因为需要计算周期内的总收益。
下面的内容里面的last是什么意思以及各个属性是什么意思？  exg_dict = {     'bias_10': 'last',           'bias_250': 'last',          'bbw_10_rank250': 'last'  }	"设置为'last'（取最后一天） # 短期动量：取最后一天 # 长期动量：取最后一天 # 波动率排名：取最后一天"
日线转周线格式的时候，因子数据，涨跌幅数据及其他数据分别是如何处理的呢？	├─ 因子数据（动量、波动率等）→ 取周期最后一天的值（周五） ├─ 涨跌幅数据 → 保存整个周期内的列表 └─ 其他数据 → 根据规则处理（大部分取最后一天）
因子数据取最后一天,这是为什么？	"因为调仓周期是每周一次，只需要在每周最后一天做决策类似""每周五称体重，决定下周的饮食计划"""
涨跌幅保存整个列表,这是为什么？	"因为需要计算周期内的总收益，类似""需要知道一周的总热量，不能只看最后一天"""
短期动量 = (当前资金曲线 / 10日均线) - 1 短期动量的计算涉及到十日均线，那么这个均线指的是所有策略的平均 吗？	不是的，不是所有策略的平均，而是单个策略自己的平均
学生A今天的成绩比最近10天的平均分高7.7%，这个过程是如何计算的呢？	先是计算学生过去十天的平均分，然后  今天的成绩处于过去时间的平均分，然后再减去一，进而计算出学生的进步程度。  10天平均分 = (60+62+61+...+69) / 10 = 65分 进步程度 = (今天成绩 / 10天平均分) - 1          = (70 / 65) - 1          = 1.077 - 1          = 0.077（7.7%）
资金曲线如何计算平均？是否是将所有策略的资金曲线来计算平均呢？	不是，每个策略自己过去10天的资金曲线平均值
波动率计算方式 = 布林带吗？	是的，这个计算方式就是布林带宽度（BBW），但波动率 ≠ 布林带
布林带（Bollinger Bands）由三条线组成：分别是如何构成的？	中轨：移动平均线（MA），上轨：中轨 + 2倍标准差，下轨：中轨 - 2倍标准差。
布林带宽度是如何计算的？	布林带宽度 = (上轨 - 下轨) / 中轨
波动率4.56%表示什么意思？	所有的数值在平均值的±4.56%范围内波动
波动率和布林带的关系是什么？	波动率 = 布林带的宽度
不同的策略来计算自己的复合因子的时候，用的是不同的权重吗？	不是的，所有的策略共用同一个权重，这个权重就是波动率权重。 所有策略共用市场环境的权重。
在计算复合因子的时候，这个权重是用来干什么的？是否直接应用在策略上？	权重用于调整短期和长期动量的重要性，不是直接应用在策略上，而是应用在计算复合因子时。
市场波动大和市场稳定的时候，分别关注长期还是短期的表现呢？	市场波动大的时候关注短期表现，市场稳定的时候关注长期表现。
资金曲线指的是价格吗？	资金曲线 ≠ 价格，而是累积收益
计算过程里面的10日均线是什么？	过去10天的平均值
动量的计算过程是什么？	动量 = 当前值 / 平均值 - 1
计算过程中所用到的资金曲线。它的本质是什么以及初始值是多少？	本质是累计收益，初始值是1。
为什么资金曲线的初始值是1而不是具体价格呢？	可以进行标准化，不同策略的  初始资金不同，但是如果用资金曲线的话，那么就可以统一比较。  比如： 策略A：初始资金100万，现在110万，策略B：初始资金50万，现在55万，用价格：110万 vs 55万（无法直接比较），用资金曲线：1.1 vs 1.1（可以比较）。
资金曲线不是价格，而是什么？	累积收益（从1.0开始）
波动率的快速计算方式是什么？	波动率 = 4倍标准差 / 平均值
波动率排名是在不同策略之间进行比较排名吗？	不是策略之间的比较，而是策略自己和自己历史比较
策略A的波动率排名比较的是什么？	比较策略A的当前波动率和策略A的历史波动率
计算策略A的波动率排名：这个计算过程是什么样子的呢？	首先是拿到策略a过去250天的波动率的历史记录。 然后拿当前的波动率， 去看一下当前波动率在过去250天中的名次。 就比如说排名是150位，那么它的波动率排名的计算就是150除以250等于0.6，也就是60% 分位。
策略a的波动率排名是60%。这意味着什么？	策略A的当前波动率比60%的历史时期都要高
如何去计算来得到当前市场环境的整体波动程度？	针对所有的策略，去计算他们当前的波动率排名，然后选择其最大值来代表当前市场环境的整体波动程度。
温度计A（策略A）：根据下面信息可以得到什么含义？ 今天温度：25°C，过去250天的温度历史，今天温度在过去250天中排名第150位（60%分位），	含义：今天比60%的历史时期都要热
波动率排名他是如何去计算的呢？	就是每个策略当前的波动率 和自己历史的波动率进行比较，它的排名是多少，然后这个排名转化成百分比。
计算复合因子的时候使用到了权重。这个权重是怎么计算的呢？ 具体计算过程是什么呢？	1. 计算每个策略的当前波动率，    策略A：0.074，    策略B：0.065，    策略C：0.055，  2. 计算每个策略的波动率排名（历史排名），    策略A：当前波动率0.074，在过去250天中排名第150位 → 0.6（60%分位），    策略B：当前波动率0.065，在过去250天中排名第125位 → 0.5（50%分位），    策略C：当前波动率0.055，在过去250天中排名第100位 → 0.4（40%分位），  3. 找出所有策略中波动率排名的最大值，    波动率权重 = max(0.6, 0.5, 0.4) = 0.6
